iter	Passed	Remaining
0	220	24011
1	389	21014
2	574	20503
3	740	19631
4	935	19655
5	1087	18841
6	1253	18451
7	1409	17965
8	1571	17633
9	1720	17208
10	1883	16949
11	2141	17489
12	2291	17099
13	2483	17027
14	2649	16779
15	2812	16525
16	2965	16222
17	3138	16043
18	3303	15820
19	3461	15575
20	3617	15332
21	3785	15143
22	3954	14958
23	4134	14816
24	4308	14648
25	4485	14492
26	4627	14226
27	4795	14042
28	5036	14066
29	5234	13959
30	5437	13857
31	5593	13635
32	5766	13455
33	5971	13347
34	6278	13453
35	6559	13482
36	6799	13414
37	7030	13321
38	7200	13109
39	7438	13016
40	7686	12935
41	7950	12872
42	8099	12619
43	8258	12388
44	8418	12160
45	8604	11971
46	8791	11784
47	8955	11567
48	9113	11345
49	9287	11144
50	9426	10904
51	9586	10692
52	9745	10480
53	9921	10288
54	10090	10090
55	10265	9898
56	10425	9693
57	10607	9510
58	10777	9316
59	10947	9122
60	11107	8922
61	11274	8728
62	11411	8513
63	11578	8322
64	11728	8119
65	11902	7935
66	12084	7755
67	12266	7576
68	12426	7383
69	12615	7208
70	12755	7006
71	12916	6817
72	13078	6628
73	13234	6438
74	13393	6250
75	13564	6068
76	13705	5873
77	13863	5687
78	14030	5505
79	14215	5330
80	14372	5145
81	14551	4968
82	14715	4787
83	14871	4602
84	15006	4413
85	15174	4234
86	15346	4057
87	15499	3874
88	15660	3695
89	15842	3520
90	16004	3341
91	16179	3165
92	16328	2984
93	16487	2806
94	16645	2628
95	16830	2454
96	16994	2277
97	17172	2102
98	17332	1925
99	17494	1749
100	17654	1573
101	17827	1398
102	17972	1221
103	18143	1046
104	18299	871
105	18449	696
106	18605	521
107	18784	347
108	18935	173
109	19108	0
